iso_code;year;fuel;production
BTN;2004;biofuel;0.0
BTN;2005;biofuel;0.0
BTN;2006;biofuel;0.0
BTN;2007;biofuel;0.0
BTN;2008;biofuel;0.0
BTN;2009;biofuel;0.0
BTN;2010;biofuel;0.0
BTN;2011;biofuel;0.0
BTN;2012;biofuel;0.0
BTN;2013;biofuel;0.0
BTN;2014;biofuel;0.0
BTN;2015;biofuel;0.0
BTN;2016;biofuel;0.0
BTN;2017;biofuel;0.0
BTN;2018;biofuel;0.0
BTN;2019;biofuel;0.0
BTN;2020;biofuel;0.0
BOL;2000;biofuel;0.14
BOL;2001;biofuel;0.14
BOL;2002;biofuel;0.15
BOL;2003;biofuel;0.17
BOL;2004;biofuel;0.48
BOL;2005;biofuel;0.59
BOL;2006;biofuel;0.63
BOL;2007;biofuel;1.0
BOL;2008;biofuel;1.03
BOL;2009;biofuel;0.98
BOL;2010;biofuel;1.15
BOL;2011;biofuel;1.23
BOL;2012;biofuel;0.82
BOL;2013;biofuel;0.76
BOL;2014;biofuel;1.11
BOL;2015;biofuel;1.24
BOL;2016;biofuel;1.49
BOL;2017;biofuel;1.44
BOL;2018;biofuel;1.53
BOL;2019;biofuel;0.52
BOL;2020;biofuel;0.54
BOL;2021;biofuel;0.59
BIH;2000;biofuel;0.0
BIH;2001;biofuel;0.0
BIH;2002;biofuel;0.0
BIH;2003;biofuel;0.0
BIH;2004;biofuel;0.0
BIH;2005;biofuel;0.0
BIH;2006;biofuel;0.0
BIH;2007;biofuel;0.0
BIH;2008;biofuel;0.0
BIH;2009;biofuel;0.0
BIH;2010;biofuel;0.0
BIH;2011;biofuel;0.0
BIH;2012;biofuel;0.0
BIH;2013;biofuel;0.0
BIH;2014;biofuel;0.0
BIH;2015;biofuel;0.0
BIH;2016;biofuel;0.0
BIH;2017;biofuel;0.01
BIH;2018;biofuel;0.01
BIH;2019;biofuel;0.01
BIH;2020;biofuel;0.01
BIH;2021;biofuel;0.01
BWA;2000;biofuel;0.0
BWA;2001;biofuel;0.0
BWA;2002;biofuel;0.0
BWA;2003;biofuel;0.0
BWA;2004;biofuel;0.0
BWA;2005;biofuel;0.0
BWA;2006;biofuel;0.0
BWA;2007;biofuel;0.0
BWA;2008;biofuel;0.0
BWA;2009;biofuel;0.0
BWA;2010;biofuel;0.0
BWA;2011;biofuel;0.0
BWA;2012;biofuel;0.0
BWA;2013;biofuel;0.0
BWA;2014;biofuel;0.0
BWA;2015;biofuel;0.0
BWA;2016;biofuel;0.0
BWA;2017;biofuel;0.0
BWA;2018;biofuel;0.0
BWA;2019;biofuel;0.0
BWA;2020;biofuel;0.0
BRA;2000;biofuel;7.41
BRA;2001;biofuel;8.47
BRA;2002;biofuel;9.66
BRA;2003;biofuel;11.26
BRA;2004;biofuel;11.78
BRA;2005;biofuel;12.79
BRA;2006;biofuel;13.99
BRA;2007;biofuel;16.97
BRA;2008;biofuel;18.91
BRA;2009;biofuel;21.81
BRA;2010;biofuel;30.52
BRA;2011;biofuel;31.29
BRA;2012;biofuel;34.35
BRA;2013;biofuel;39.22
BRA;2014;biofuel;45.05
BRA;2015;biofuel;47.7
BRA;2016;biofuel;49.18
BRA;2017;biofuel;50.51
BRA;2018;biofuel;51.97
BRA;2019;biofuel;52.39
BRA;2020;biofuel;50.92
BRA;2021;biofuel;49.07
BRN;2000;biofuel;0.0
BRN;2001;biofuel;0.0
BRN;2002;biofuel;0.0
BRN;2003;biofuel;0.0
BRN;2004;biofuel;0.0
BRN;2005;biofuel;0.0
BRN;2006;biofuel;0.0
BRN;2007;biofuel;0.0
BRN;2008;biofuel;0.0
BRN;2009;biofuel;0.0
BRN;2010;biofuel;0.0
